INDEX;MEASURED;PREDICTED
1;80.11581;84.27568758
2;232.26596;244.4783319
3;2.86856;3.662376044
4;8.0443;8.15251613
5;157.15808;151.714578
6;195.06456;199.5305032
7;421.02457;426.1780214
8;117.0394;119.2017005
9;339.22166;322.0289138
10;140.6059;138.8532642
11;234.8151;245.8100456
12;284.38424;267.9721723
13;302.85222;301.1479519
14;118.43206;125.1945386
15;127.55009;123.6867822
16;94.94584;95.64949006
17;12.00986;17.86637267
18;310.55667;295.4776776
19;89.95098;93.10718112
20;0.45319;5.566253934
21;0.71714;1.725622531
22;74.55174;78.72285539
23;270.22166;279.3507262
24;363.46799;355.3624571
25;50.9852;55.96044641
26;108.88172;102.3978361
27;33.31035;32.69921623
28;229.66006;230.0417338
29;573.82176;557.4082372
30;276.67979;276.8115292
31;55.93766;57.83394779
32;154.31528;151.3554727
33;38.06896;40.16864252
34;263.50106;242.9647985
35;338.76847;363.5950838
36;541.03783;560.8738835
37;182.18714;177.5880967
38;128.5746;128.0834144
39;266.88197;270.8914565
40;367.0936;365.044053
41;234.61021;225.2595321
42;193.63028;177.0466477
43;244.27582;249.8959033
44;99.6837;101.0747938
45;17.5616;17.34701979
46;303.30542;335.6722853
47;204.84729;196.9417833
48;133.69707;137.5790871
49;193.97041;193.4989717
50;461.63916;456.9012603
51;340.12805;342.2925424
52;154.28952;151.6571049
53;309.39867;310.2622868
54;137.32021;137.2421928
55;211.872;216.8809856
56;343.71936;333.295499
57;139.9261;140.4012563
58;409.80784;415.1379044
59;383.4088;374.9663975
60;465.3251;465.6161744
61;348.12469;342.1622938
62;231.47292;238.5096164
63;201.00666;198.2050735
64;24.17815;22.42099599
65;432.54343;436.8111089
66;44.64042;48.12377134
67;526.05416;486.4482177
68;104.803;101.5940502
69;401.80844;393.7085615
70;70.2463;66.91280143
71;48.03936;47.98573956
72;325.96548;377.0929142
73;216.63056;221.2707212
74;201.21154;200.1457572
75;91.38526;99.77575788
76;108.39201;112.5071347
77;72.22718;70.53381293
78;92.4532;93.79274957
79;94.71924;102.0432414
80;278.76616;286.0338437
81;330.40089;336.9538332
82;40.5616;41.28460427
83;58.1231;60.04297084
84;44.4138;45.7558055
85;399.34964;388.4317772
86;9.63028;10.93712502
87;317.3897;317.1708698
88;274.7706;278.7638385
89;47.53677;48.61888777
90;377.11803;373.5400796
91;76.36451;81.56306652
92;464.8151;458.9194203
93;22.94876;22.62617938
94;349.66146;345.8492359
95;255.6059;253.1413898
96;246.54188;244.721323
97;15.63549;17.26096113
98;249.37437;242.4585147
99;63.7238;65.7535275
100;100.0443;91.16899733
101;212.2762;210.1796142
102;109.92868;109.090743
103;211.1921;212.6743049
104;374.11818;372.1300661
105;357.8029;346.5213212
106;173.23646;165.0965114
107;53.069;49.41322861
108;98.91132;98.94104443
109;102.53694;103.4707226
110;343.52708;349.2848007
111;442.58348;447.5285737
112;247.7238;235.7525484
113;516.0838;502.604652
114;295.97771;281.3036111
115;322.7931;326.6334211
116;257.3054;261.6482216
117;307.34964;304.425922
118;132.7882;133.4141205
119;283.58126;294.510781
120;16.08464;17.63911198
121;27.86634;27.26602706
122;121.68472;118.6356234
123;275.18037;267.8480507
124;91.20687;85.07479349
125;282.91132;281.8152483
126;182.7706;178.2303578
127;41.46799;40.82071489
128;107.9753;103.3566967
129;407.95542;407.392783
130;204.59245;212.0362929
131;359.5024;363.1667019
132;38.21376;42.22870876
133;508.76616;500.5708095
134;177.85302;180.8760496
135;64.8508;60.3518927
